CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28063799;CP INF-PRI-SEC;ADOLFO SUAREZ;Calle De La Infanta Catalina Micaela, 31 ;Madrid;Hortaleza;28050;917502058;917189274;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28070721;CP INF-PRI-SEC;BEETHOVEN;Calle Montserrat Roig, 8 ;Torrejón de Ardoz;-;28850;914885016;914886550;Transt. Desarrollo;Público;Horario ampliado,Comedor;
Madrid-Oeste;28060348;CP INF-PRI-SEC;EL CANTIZAL;Avenida De Atenas, S/n ;Rozas de Madrid, Las;-;28232;916030099;916317527;Transt. Desarrollo;Público;Horario ampliado,Comedor;
Madrid-Oeste;28057076;CP INF-PRI-SEC;EL ENCINAR;Calle Ribadesella, S/n ;Torrelodones;-;28250;918593112;918592885;Motóricos,Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28002026;CP INF-PRI-SEC;EUGENIO MURO;Carretera Rozas De Puerto Real, 20 ;Cadalso de los Vidrios;-;28640;918640158;918641288;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28002038;CP INF-PRI-SEC;FEDERICO GARCIA LORCA;Calle De La Huerta, S/n ;Camarma de Esteruelas;-;28816;918865256;918865248;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28023364;CP INF-PRI-SEC;ISABEL LA CATOLICA;Calle Vía Olímpica, S/n ;Navas del Rey;-;28695;918650536;918650790;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28023388;CP INF-PRI-SEC;JUAN DE GOYENECHE;Avenida Glasgow, 1 ;Nuevo Baztán;-;28514;918735070;918734258;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28001812;CP INF-PRI-SEC;JUAN RAMON JIMENEZ;Paseo De San Sebastián, 23 ;Becerril de la Sierra;-;28490;918538064;918555468;Auditivos;Público;Transporte,Horario ampliado,Comedor;
Madrid-Oeste;28023741;CP INF-PRI-SEC;LOS ANGELES;Calle Diego De Velázquez, 5 ;Pozuelo de Alarcón;-;28223;917116584;915180145;-;Público;Horario ampliado,Comedor;
Madrid-Sur;28070691;CP INF-PRI-SEC;MAESTRO RODRIGO;Avenida Memorial De La Paz De Hiroshima, S/n ;Aranjuez;-;28300;918927841;918928169;Transt. Desarrollo;Público;Horario ampliado,Comedor;
Madrid-Oeste;28057088;CP INF-PRI-SEC;MARIA MOLINER;Avenida Rioja, 14 ;Villanueva de la Cañada;-;28691;918155505;918106692;Motóricos,Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28002853;CP INF-PRI-SEC;MARTINA GARCIA;Avenida Julián Sánchez, 17 ;Fuente el Saz de Jarama;-;28140;916200825;916224053;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28025415;CP INF-PRI-SEC;MIGUEL DE CERVANTES;Calle Miguel Cervantes, 4 ;Valdilecha;-;28511;918738437;918738660;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28033679;CP INF-PRI-SEC;MIGUEL DE CERVANTES;Avenida De Villaviciosa, 7 ;Alcorcón;-;28922;916116198;916116569;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28001848;CP INF-PRI-SEC;PRINCIPE DON FELIPE;Calle De José Antonio, 48 ;Boadilla del Monte;-;28660;916331626;916331954;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Oeste;28064160;CP INF-PRI-SEC;PRINCIPES DE ASTURIAS;Calle Atlántico Del Paular, 8 ;Pozuelo de Alarcón;-;28224;917140919;913515144;Transt. Desarrollo;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28073872;CP INF-PRI-SEC;PUERTA DE LA SIERRA;Calle Placer De Ver, S/n ;Venturada;-;28729;918439140;918439289;-;Público;Transporte,Horario ampliado,Comedor;
Madrid-Sur;28060270;CP INF-PRI-SEC;SALVADOR DALI;Calle De La Tia Javiera, S/n ;Fuenlabrada;-;28942;916046230;916047303;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Este;28000029;CP INF-PRI-SEC;SAN BLAS;Calle Víctor Hurtado, S/n ;Ajalvir;-;28864;918844589;918844211;-;Público;Horario ampliado,Comedor;
Madrid-Sur;28067768;CP INF-PRI-SEC;SAN MIGUEL;Calle De Las Viñas, 9 ;Villamantilla;-;28609;918137521;918126010;-;Público;Horario ampliado,Comedor;
Madrid-Oeste;28001873;CP INF-PRI-SEC;SAN SEBASTIAN;Carretera Mazanares El Real, 10 ;Boalo, El;-;28413;918559382;918559382;-;Público;Transporte,Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28067744;CP INF-PRI-SEC;SANTO ANGEL DE LA GUARDA;Calle Rodetas, 19 ;Chapinería;-;28694;918652735;918652288;-;Público;Transporte,Comedor;
Madrid-Norte;28039669;CP INF-PRI-SEC;SANTO DOMINGO;Avenida Del Guadalix, 35 ;Algete;-;28120;916221690;916222409;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Sur;28002105;CP INF-PRI-SEC;SUAREZ SOMONTE;Calle De La Ronda Del Sur, 54 ;Cenicientos;-;28650;918642528;918642528;-;Público;Activid. .Extraesc.;
Madrid-Sur;28042191;CP INF-PRI-SEC;VELAZQUEZ;Urbanizacion Nuevo Versalles, 16 ;Fuenlabrada;-;28942;916892040;914865728;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28022891;CP INF-PRI-SEC;VICENTE ALEIXANDRE;Avenida De La Constitución, 29 ;Miraflores de la Sierra;-;28792;918443873;918445212;Motóricos;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Norte;28002211;CP INF-PRI-SEC;VILLA DE COBEÑA;Calle De La Fuente, 17 ;Cobeña;-;28863;916208425;916208425;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
