CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Oeste;28002695;CP PRI;FELIPE II;Calle De Alfonso Xiii, 5 ;Escorial, El;-;28280;918960697;918909153;cp.felipesegundo.elescorial@educa.madrid.org;cepfelipesegundo@gmail.com;Público;
Madrid-Sur;28073896;CP INF-PRI;ABAD Y HARIJA;Calle Gabriel Cisneros, S/n ;Torrejón de la Calzada;-;28991;918145588;-;cp.abadyharija.torrejondelacalzada@educa.madrid.org;-;Público;
Madrid-Sur;28071802;CP INF-PRI;AGUSTIN DE ARGÜELLES;Calle De Las Hayas, S/n ;Alcorcón;-;28922;912647224;912645980;cp.agustindearguelles.alcorcon@educa.madrid.org;-;Público;
Madrid-Capital;28063751;CP INF-PRI;AGUSTIN RODRIGUEZ SAHAGUN;Calle De La Granja De San Ildefonso, 17-19 ;Madrid;Villa de Vallecas;28051;913324348;914941475;cp.rodriguezsahagun.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28004989;CP INF-PRI;AGUSTINA DIEZ;Calle Del Vesubio, 5 ;Madrid;Puente de Vallecas;28038;917770073;-;cp.agustinadiez.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28004990;CP INF-PRI;ALBERTO ALCOCER;Avenida Canillejas-vicalvaro, 56 ;Madrid;San Blas-Canillejas;28022;913202609;913200446;cp.albertoalcocer.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28035615;CP INF-PRI;ALFONSO R. CASTELAO;Calle De Azorín, 24 ;Móstoles;-;28935;916183975;916179850;cp.castelao.mostoles@educa.madrid.org;cp.castelao.mostoles@educa.madrid.org;Público;
Madrid-Capital;28077865;CP INF-PRI;ALFREDO DI STEFANO;Calle De Félix Candela, 4 ;Madrid;Hortaleza;28055;660906527;912723215;cp.alfredodistefano.madrid@educa.madrid.org;-;Público;
Madrid-Este;28074591;CP INF-PRI;ALFREDO LANDA;Avenida De Lisboa, 9 ;Coslada;-;28822;916715082;916716036;cp.alfredolanda.coslada@educa.madrid.org;-;Público;
Madrid-Capital;28038318;CP INF-PRI;ALHAMBRA;Calle De Ramón Gómez De La Serna, 103 ;Madrid;Fuencarral-El Pardo;28035;913162273;913737021;cp.alhambra.madrid@educa.madrid.org;-;Público;
