CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Capital;28011349;CPR INF-PRI;ARCANGEL;Calle De Ángel Ganivet, 21 ;Madrid;Retiro;28007;915523525;911191309;Privado Concertado;
Madrid-Capital;28032195;CPR INF-PRI;CENIT;Calle De Vital Aza, 31 ;Madrid;Ciudad Lineal;28017;914087145;914087145;Privado Concertado;
Madrid-Capital;28011520;CPR INF-PRI;CENTRAL;Calle De Manuel Muñoz, 9 ;Madrid;Usera;28026;914759629;912450019;Privado Concertado;
Madrid-Capital;28019981;CPR INF-PRI;CENTRO DE ESTUDIOS CASTILLA;Calle Del Oso, 23 ;Madrid;Centro;28012;915303292;915060720;Privado Concertado;
Madrid-Capital;28022529;CPR INF-PRI;CERVANTES;Calle De Elvas, 2 ;Madrid;Carabanchel;28025;914606748;914608036;Privado Concertado;
Madrid-Capital;28043223;CPR INF-PRI;COLEGIO DIOCESANO CRISTO DE LA GUIA;Calle De Ezcaray, 3 ;Madrid;Vicálvaro;28032;917768593;917762246;Privado Concertado;
Madrid-Capital;28015537;CPR INF-PRI;CUMBRE-OXFORD;Calle De Buendía, 50-52 ;Madrid;Puente de Vallecas;28053;915075753;915075753;Privado Concertado;
Madrid-Capital;28026110;CPR INF-PRI;DOSPARQUES;Calle De San Anastasio, 4 ;Madrid;Arganzuela;28005;914739985;914739985;Privado Concertado;
Madrid-Capital;28011805;CPR INF-PRI;DULCE NOMBRE DE JESUS;Calle De Agustín Durán, 20 ;Madrid;Salamanca;28028;917256614;917250677;Privado Concertado;
Madrid-Capital;28032225;CPR INF-PRI;JESUS MARIA-NTRA. SRA. CARIDAD DEL COBRE;Calle De Los Hermanos García Noblejas, 17 ;Madrid;San Blas-Canillejas;28037;913670456;911305633;Privado Concertado;
Madrid-Capital;28008016;CPR INF-PRI;LA MERCED;Calle De Luis De Góngora, 5 ;Madrid;Centro;28004;915232299;915221430;Privado Concertado;
Madrid-Capital;28012810;CPR INF-PRI;LA MILAGROSA;Calle Del Puerto Del Monasterio, 35 ;Madrid;Puente de Vallecas;28018;914778158;914786412;Privado Concertado;
Madrid-Capital;28020041;CPR INF-PRI;LA SALLE-LA PALOMA-FUNDACION LARA;Calle De La Paloma, 21 ;Madrid;Centro;28005;913641082;913651428;Privado Concertado;
Madrid-Capital;28008600;CPR INF-PRI;LICEO OROQUIETA;Calle Del Sáhara, 79 ;Madrid;Villaverde;28041;917961495;917967558;Privado Concertado;
Madrid-Capital;28044872;CPR INF-PRI;LICEO ROSALES;Calle De Ignacio Santos Viñuelas, 9 ;Madrid;Villaverde;28021;917982959;917976602;Privado Concertado;
Madrid-Capital;28029159;CPR INF-PRI;LUIS FEITO;Calle De Luis Feíto, 19 ;Madrid;Latina;28047;914623137;914623137;Privado Concertado;
Madrid-Capital;28012676;CPR INF-PRI;MARIA CRISTINA;Calle De Antillón, 6 ;Madrid;Latina;28011;914643175;914630279;Privado Concertado;
Madrid-Capital;28021975;CPR INF-PRI;MIRASOL;Calle De Peña Dorada, 4 ;Madrid;Fuencarral-El Pardo;28034;917386100;917382088;Privado Concertado;
Madrid-Capital;28017339;CPR INF-PRI;NEBRIJA-ROSALES;Calle De Carlos Domingo, 10-12 ;Madrid;Latina;28047;914650315;914657541;Privado Concertado;
Madrid-Capital;28008296;CPR INF-PRI;NTRA. SRA. DE FATIMA;Calle De Alcalá, 292 ;Madrid;Ciudad Lineal;28027;913260455;913260455;Privado Concertado;
Madrid-Capital;28013279;CPR INF-PRI;NTRA. SRA. DE LA MERCED;Calle De Zaida, 87 ;Madrid;Carabanchel;28019;914727650;914722261;Privado Concertado;
Madrid-Capital;28008430;CPR INF-PRI;NTRA. SRA. DE LA PAZ;Calle De Valderribas, 37 ;Madrid;Retiro;28007;915528595;915529032;Privado Concertado;
Madrid-Capital;28013701;CPR INF-PRI;SAGRADA FAMILIA;Calle De Eduardo Aunos, 32 ;Madrid;Salamanca;28028;915733154;915733154;Privado Concertado;
Madrid-Capital;28013826;CPR INF-PRI;SAGRADOS CORAZONES;Calle De Pan Y Toros, 45 ;Madrid;Villaverde;28041;913172526;913172526;Privado Concertado;
Madrid-Capital;28008995;CPR INF-PRI;SAN ANTONIO;Calle De Bravo Murillo, 150 ;Madrid;Tetuán;28020;915339106;914560029;Privado Concertado;
Madrid-Capital;28013966;CPR INF-PRI;SAN FERMIN;Calle De La Estafeta, 17 ;Madrid;Usera;28041;917920535;914750587;Privado Concertado;
Madrid-Capital;28007371;CPR INF-PRI;SAN LUIS-FELCA;Calle De Dolores Barranco, 65 ;Madrid;Usera;28026;914758162;-;Privado Concertado;
Madrid-Capital;28009422;CPR INF-PRI;SAN RAFAEL ARCANGEL-SANTA LUISA;Calle De Otero Y Delage, 105 ;Madrid;Fuencarral-El Pardo;28035;913161723;913168114;Privado Concertado;
Madrid-Capital;28017777;CPR INF-PRI;SANTA CRUZ;Calle De Miguel Fleta, 7 ;Madrid;San Blas-Canillejas;28037;913040609;913270590;Privado Concertado;
Madrid-Capital;28009495;CPR INF-PRI;SANTA ELIZABETH;Calle De Viera Y Clavijo, 14 ;Madrid;Retiro;28007;915512615;915512615;Privado Concertado;
Madrid-Capital;28009586;CPR INF-PRI;SANTA MARIA;Calle De Tolosa, 6 ;Madrid;Usera;28041;913415193;913418780;Privado Concertado;
Madrid-Capital;28010060;CPR INF-PRI;VIRGEN DEL PILAR;Calle De Melchor Fernández Almagro, 70 ;Madrid;Fuencarral-El Pardo;28029;917390277;917319621;Privado Concertado;
Madrid-Capital;28032183;CPR INF-PRI;VIRGEN MILAGROSA;Calle Del Mar De Coral, 3 ;Madrid;Hortaleza;28033;917638756;913820428;Privado Concertado;
Madrid-Capital;28008703;CPR ES;EL PORVENIR;Calle De Bravo Murillo, 85 ;Madrid;Chamberí;28003;915331337;915345492;Privado Concertado;
Madrid-Capital;28018061;CPR INF-PRI-SEC;AGORA;Calle Del Marqués De Portugalete, 17 ;Madrid;Ciudad Lineal;28027;917421891;917421813;Privado Concertado;
Madrid-Capital;28015392;CPR INF-PRI-SEC;AGRUPACION ESCOLAR EUROPA;Calle De Miguel Solas, 12 ;Madrid;Villaverde;28021;917955158;917968513;Privado Concertado;
Madrid-Capital;28019828;CPR INF-PRI-SEC;AGUSTINIANO;Calle Del Pez Austral, 13 ;Madrid;Retiro;28007;915740000;914096201;Privado Concertado;
Madrid-Capital;28011246;CPR INF-PRI-SEC;AMOR DE DIOS;Calle De Gutiérrez Canales, 15 ;Madrid;San Blas-Canillejas;28022;917410114;917415820;Privado Concertado;
Madrid-Capital;28011258;CPR INF-PRI-SEC;AMOR MISERICORDIOSO;Paseo De San Francisco De Sales, 42 ;Madrid;Chamberí;28003;915332233;915332507;Privado Concertado;
Madrid-Capital;28011261;CPR INF-PRI-SEC;AMOROS;Calle De Gómez De Arteche, 28 ;Madrid;Carabanchel;28044;915111130;915083064;Privado Concertado;
Madrid-Capital;28010436;CPR INF-PRI-SEC;ASUNCION CUESTABLANCA;Calle Asunción Cuestablanca, 11 ;Madrid;Hortaleza;28050;913020549;917662234;Privado Concertado;
Madrid-Capital;28012962;CPR INF-PRI-SEC;ASUNCION-VALLECAS;Calle De Montseny, 25 ;Madrid;Puente de Vallecas;28038;914336991;915520042;Privado Concertado;
Madrid-Capital;28015550;CPR INF-PRI-SEC;AZORIN;Calle De Arzúa, 28 ;Madrid;Hortaleza;28033;913821720;917630722;Privado Concertado;
Madrid-Capital;28006809;CPR INF-PRI-SEC;BEATA FILIPINA-FUND.FELICIANA VIERTOLA;Calle De José De Cadalso, 50 ;Madrid;Latina;28044;917063021;917063021;Privado Concertado;
Madrid-Capital;28005131;CPR INF-PRI-SEC;BEATA MARIA ANA DE JESUS;Calle De Guillermo De Osma, 10 ;Madrid;Arganzuela;28045;914735558;913545186;Privado Concertado;
