CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Este;28000522;IES;ANTONIO MACHADO;Calle Alalpardo, S/n ;Alcalá de Henares;-;28806;918892450;918883916;ies.machado.alcala@educa.madrid.org;-;-;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28020892;IES;BEATRIZ GALINDO;Calle De Goya, 10 ;Madrid;Salamanca;28001;915764706;915760637;ies.beatrizgalindo.madrid@educa.madrid.org;-;-;Público;Activid. .Extraesc.;
Madrid-Capital;28020934;IES;CARDENAL CISNEROS;Calle De Los Reyes, 4 ;Madrid;Centro;28015;915224869;915216372;ies.cardenalcisnero.madrid@educa.madrid.org;secretaria.ies.cardenalcisnero.madrid@educa.madrid.org;-;Público;Activid. .Extraesc.;
Madrid-Capital;28004059;IES;CERVANTES;Calle De Embajadores, 70 ;Madrid;Centro;28012;915285061;915276281;ies.cervantes.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28000364;IES;COMPLUTENSE;Calle Valladolid, 1 ;Alcalá de Henares;-;28804;918880169;918828091;ies.complutense.alcala@educa.madrid.org;-;-;Público;Transporte,Activid. .Extraesc.;
Madrid-Sur;28028374;IES;DIONISIO AGUADO;Calle De Italia, 14 ;Fuenlabrada;-;28943;916076232;916083230;ies.dionisioaguado.fuenlabrada@educa.madrid.org;-;-;Público;Activid. .Extraesc.;
Madrid-Sur;28001629;IES;DOMENICO SCARLATTI;Calle De Valeras, 22 ;Aranjuez;-;28300;918910057;918923723;ies.domenicoscarlat.aranjuez@educa.madrid.org;-;Motóricos;Público;Activid. .Extraesc.;
Madrid-Capital;28018435;IES;EMILIO CASTELAR;Calle De Río De Oro, 4 ;Madrid;Carabanchel;28019;914713243;914729058;ies.emiliocastelar.madrid@educa.madrid.org;-;-;Público;Activid. .Extraesc.;
Madrid-Sur;28032559;IES;ENRIQUE TIERNO GALVAN;Avenida Juan Carlos I, 12 ;Parla;-;28981;916981111;916981161;ies.tiernogalvan.parla@educa.madrid.org;-;-;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28044902;IES;FRANCISCO DE QUEVEDO;Calle De San Román Del Valle, S/n ;Madrid;San Blas-Canillejas;28037;913065604;913065606;ies.quevedo.madrid@educa.madrid.org;iesquevedo@gmail.com;-;Público;Activid. .Extraesc.;
Madrid-Norte;28000753;IES;FRANCISCO GINER DE LOS RIOS;Avenida De La Transición Española, 11 ;Alcobendas;-;28108;916525466;916511164;ies.ginerdelosrios.alcobendas@educa.madrid.org;-;-;Público;Activid. .Extraesc.;
Madrid-Este;28039724;IES;GRANDE COVIAN;Camino Del Molino, 8 ;Arganda del Rey;-;28500;918700363;918700453;ies.grandecovian.arganda@educa.madrid.org;-;Auditivos,Transt. Desarrollo;Público;Activid. .Extraesc.;
Madrid-Capital;28020119;IES;GREGORIO MARAÑON;Avenida De El Ferrol, 43 ;Madrid;Fuencarral-El Pardo;28029;917310421;-;ies.gregoriomaranon.madrid@educa.madrid.org;-;Transt. Desarrollo;Público;Activid. .Extraesc.;
