CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Sur;28047034;EEI-CN;A CHUPÉ;Calle Navayuncosa, 22 ;Aldea del Fresno;-;28620;918636081;918637603;Público;
Madrid-Sur;28059449;EEI-CN;ACUARELA;Avenida De Los Ángeles, 26 ;Getafe;-;28903;916019432;916019432;Público;
Madrid-Sur;28076101;EEI-CN;ADIVINANZAS (PROGRAMA DE CASA DE NIÑOS);Calle De Las Palmeras, 1 ;Alcorcón;-;28922;911886061;-;Público;
Madrid-Norte;28050677;EEI-CN;ALALPARDO;Calle De Alcalá (alalpardo), 25 ;Valdeolmos-Alalpardo;-;28130;916202616;916202616;Público;
Madrid-Capital;28076599;EEI-CN;ALBAICIN (PROGRAMA CASA DE NIÑOS);Calle De Albaicín, 1 ;Madrid;Usera;28041;913171194;913171194;Público;
Madrid-Sur;28058226;EEI-CN;ANTUSANA;Calle Del Río Segre, 10 ;Móstoles;-;28935;916472814;916472814;Público;
Madrid-Este;28047290;EEI-CN;ARCO IRIS;Calle De La Ermita, 1 ;Valdaracete;-;28594;918739677;918739677;Público;
Madrid-Sur;28057520;EEI-CN;ARCO IRIS;Calle De La Olímpica Conchita Puig, 2 ;Alcorcón;-;28923;916428854;916195357;Público;
Madrid-Este;28047046;EEI-CN;ARGANDA DEL REY;Calle Gran Vía, S/n ;Arganda del Rey;-;28500;918702178;918702178;Público;
Madrid-Sur;28047083;EEI-CN;ATRAPASUEÑOS;Calle Villas De Don Juan, 17 ;Cadalso de los Vidrios;-;28640;918640575;-;Público;
Madrid-Sur;28047150;EEI-CN;AVENTURAS;Calle Italia, 12 ;Leganés;-;28916;916804379;916804379;Público;
Madrid-Sur;28049845;EEI-CN;BAOBAB;Calle San José, S/n ;Valdemoro;-;28341;918956575;918956575;Público;
Madrid-Este;28059437;EEI-CN;BAOBAB;Avenida De Madrid, 30 ;Santos de la Humosa, Los;-;28817;918848136;-;Público;
Madrid-Oeste;28057738;EEI-CN;BECERRIL DE LA SIERRA Nº 1;Calle De Cáceres, 3 ;Becerril de la Sierra;-;28490;918538749;918538749;Público;
Madrid-Capital;28056771;EEI-CN;BRAVO MURILLO;Calle De Las Islas Cíes, 11 ;Madrid;Fuencarral-El Pardo;28035;917308460;917308460;Público;
Madrid-Norte;28047058;EEI-CN;BUITRAGO DE LOZOYA;Calle De San Salvador, 6 ;Buitrago del Lozoya;-;28730;918680133;918680630;Público;
Madrid-Sur;28048695;EEI-CN;BURBUJAS;Calle San Bernardo, 13 ;Leganés;-;28917;916113960;916113960;Público;
Madrid-Norte;28047061;EEI-CN;BUSTARVIEJO;Carretera De Valdemanco, 9 Bis ;Bustarviejo;-;28720;918482240;918439531;Público;
Madrid-Sur;28043958;EEI-CN;CAMPANILLA;Calle De La Constitución, 22 ;Navalcarnero;-;28600;918113137;-;Público;
Madrid-Este;28047782;EEI-CN;CAMPO REAL Nº 1;Calle Peaje, 2 ;Campo Real;-;28510;918733548;918733548;Público;
Madrid-Oeste;28078870;EEI-CN;CAPULIN;Calle Buenavista, S/n ;Santa María de la Alameda;-;28296;-;-;Público;
Madrid-Sur;28075285;EEI-CN;CARACOL COL COL (PROGRAMA DE CASA DE NIÑOS);Calle Tablas De Daimiel, S/n ;Ciempozuelos;-;28350;918086676;918930668;Público;
Madrid-Sur;28047095;EEI-CN;CASARRUBUELOS Nº 1;Camino De Los Andaluces, 2 ;Casarrubuelos;-;28978;918167045;918167045;Público;
Madrid-Sur;28059450;EEI-CN;CASARRUBUELOS Nº 2;Camino De Torrejón De Velasco, 5 ;Casarrubuelos;-;28977;918167450;918167450;Público;
Madrid-Este;28047927;EEI-CN;CASCABEL;Camino De La Virgen De La Cabeza, 15 ;Meco;-;28880;918861262;-;Público;
Madrid-Sur;28047794;EEI-CN;CENICIENTOS;Calle De La Ronda Del Sur, 108 ;Cenicientos;-;28650;918642125;918642125;Público;
Madrid-Norte;28066272;EEI-CN;CERVATILLO DORMILON;Calle De La Iglesia, 2 ;Cervera de Buitrago;-;28193;609454233;-;Público;
Madrid-Este;28072831;EEI-CN;CHINCHON Nº 1;Calle Del Teniente Ortiz De Zarate, 19 ;Chinchón;-;28370;918941000;-;Público;
Madrid-Sur;28047988;EEI-CN;CINTA Y ELISA;Calle Vía Olímpica, 3 ;Navas del Rey;-;28695;918650959;918650959;Público;
Madrid-Oeste;28047800;EEI-CN;COLLADO MEDIANO;Avenida De Madrid, 23 ;Collado Mediano;-;28450;918554142;918554142;Público;
Madrid-Norte;28047873;EEI-CN;COLMENAR VIEJO;Calle De Gustavo Adolfo Bécquer, 18 ;Colmenar Viejo;-;28770;918457671;918451074;Público;
Madrid-Este;28047770;EEI-CN;COLORIN COLORADO;Camino Del Molino, S/n ;Camarma de Esteruelas;-;28816;918866280;918866280;Público;
Madrid-Oeste;28057741;EEI-CN;COLORIN COLORETE;Avenida De La Cruz Verde, 3 ;Zarzalejo;-;28293;918992465;918992465;Público;
Madrid-Sur;28049158;EEI-CN;COLORINES;Avenida De España, 66 ;Getafe;-;28903;916825253;916825253;Público;
Madrid-Este;28047824;EEI-CN;DAGANZO;Calle Hermanos Álvarez Quintero, 22 ;Daganzo de Arriba;-;28814;918875143;918875143;Público;
Madrid-Capital;28049951;EEI-CN;DANIEL VAZQUEZ DIAZ;Calle De Armenteros, 46 ;Madrid;Moncloa-Aravaca;28039;913113496;913113496;Público;
Madrid-Este;28075871;EEI-CN;DON MELITON (PROGRAMA DE CASA DE NIÑOS);Calle Arturo Soria, 5 ;Alcalá de Henares;-;28806;918786757;-;Público;
Madrid-Oeste;28078730;EEI-CN;DON PIMPON (PROGRAMA CASA DE NIÑOS);Calle De Murillo, 1 ;Galapagar;-;28420;918585012;-;Público;
Madrid-Sur;28056825;EEI-CN;DUENDES;Calle Del Tamarindo, S/n ;Móstoles;-;28935;916476682;916476682;Público;
Madrid-Norte;28075078;EEI-CN;EL ALMENDRO (PROGRAMA DE CASA DE NIÑOS);Calle De Juan Gris, 3 ;Colmenar Viejo;-;28770;918473480;918451792;Público;
Madrid-Este;28057830;EEI-CN;EL ARBOL;Calle De Samuel Baltes, 45 ;Villarejo de Salvanés;-;28590;606193485;606193485;Público;
Madrid-Norte;28050631;EEI-CN;EL BERRUECO;Calle Real, 26 ;Berrueco, El;-;28192;918686048;918694094;Público;
Madrid-Sur;28057519;EEI-CN;EL BOSQUE;Calle Pintor Rosales, 1-b ;Parla;-;28982;916995160;916995160;Público;
Madrid-Este;28048117;EEI-CN;EL BOSQUE ENCANTADO;Calle Mayor, 36 ;Torres de la Alameda;-;28813;918858489;-;Público;
Madrid-Sur;28079175;EEI-CN;EL BOSQUE (PROGRAMA CASA DE NIÑOS);Calle De La Encina, 2 ;Humanes de Madrid;-;28970;914982718;-;Público;
Madrid-Oeste;28077142;EEI-CN;EL CALIMERO (PROGRAMA CASA DE NIÑOS);Calle Amapolas, S/n ;Collado Villalba;-;28400;674334740;-;Público;
Madrid-Norte;28058895;EEI-CN;EL CANCIONERO;Calle De Las Eras, 2 ;Valdemanco;-;28729;918481157;918481157;Público;
Madrid-Este;28047319;EEI-CN;EL CASTILLO;Calle De San José, 2 ;Villarejo de Salvanés;-;28590;918745068;918745937;Público;
Madrid-Este;28050665;EEI-CN;EL DRAGON;Calle Del Alcalde Francisco Santero, 4 ;Rivas-Vaciamadrid;-;28521;916704207;916704207;Público;
Madrid-Sur;28058937;EEI-CN;EL DUENDE;Avenida De Juan Carlos I, 26 ;Getafe;-;28905;916810074;916810074;Público;
Madrid-Norte;28076472;EEI-CN;EL FARO (PROGRAMA CASA DE NIÑOS);Avenida De Talavera De La Reina, S/n ;San Sebastián de los Reyes;-;28701;-;-;Público;
Madrid-Oeste;28058214;EEI-CN;EL HADA TRAGA MANZANAS;Calle Almendros, S/n ;Collado Villalba;-;28400;918493174;918493174;Público;
Madrid-Sur;28076401;EEI-CN;EL NARANJO (PROGRAMA CASA DE NIÑOS);Paseo Riazor, S/n ;Fuenlabrada;-;28942;916085189;-;Público;
Madrid-Este;28048737;EEI-CN;EL OLMO;Calle Carlos Ruiz, 13 ;Villar del Olmo;-;28512;918732179;-;Público;
Madrid-Oeste;28047253;EEI-CN;EL PARQUE;Carretera M-512 (navas Del Rey), 9 ;Robledo de Chavela;-;28294;918998248;918998590;Público;
Madrid-Sur;28060671;EEI-CN;EL PRINCIPITO;Avenida José Fernández Segovia, 1 ;Torrejón de Velasco;-;28990;663802339;-;Público;
Madrid-Sur;28077002;EEI-CN;EL ROBLE (PROGRAMA CASA DE NIÑOS);Glorieta De Lituania, S/n ;Valdemoro;-;28341;918083102;-;Público;
Madrid-Sur;28077014;EEI-CN;EL RODARI (PROGRAMA CASA DE NIÑOS);Avenida De Villaviciosa, S/n ;Alcorcón;-;28922;-;-;Público;
Madrid-Sur;28075753;EEI-CN;EL ROMANCERO (PROGRAMA DE CASA DE NIÑOS);Calle Dinamarca, 11 ;Leganés;-;28916;916884688;916884688;Público;
Madrid-Sur;28076022;EEI-CN;EL SACAPUNTAS (PROGRAMA DE CASA DE NIÑOS);Calle De Las Ciencias, 27 ;Fuenlabrada;-;28943;914986125;914986125;Público;
Madrid-Este;28068384;EEI-CN;EL SASTRECILLO VALIENTE;Calle Mayor, 71 ;Torres de la Alameda;-;28813;918868961;-;Público;
Madrid-Este;28071036;EEI-CN;EL SAUCE LLORON;Calle Mayor, 47 ;Corpa;-;28811;918846643;918846643;Público;
Madrid-Capital;28076691;EEI-CN;EL SEÑOR DON GATO (PROGRAMA CASA DE NIÑOS);Calle De Los Poetas, S/n ;Madrid;Vicálvaro;28032;913711962;917080207;Público;
Madrid-Sur;28047265;EEI-CN;EL TREBOL;Calle Del Trébol, 2 ;Serranillos del Valle;-;28979;918175871;-;Público;
Madrid-Capital;28076629;EEI-CN;EL TRÉBOL (PROGRAMA CASA DE NIÑOS);Calle De Tristana, 2 ;Madrid;Puente de Vallecas;28018;917772208;-;Público;
Madrid-Sur;28074177;EEI-CN;EL TREBOL (PROGRAMA DE CASA DE NIÑOS);Calle Del Trébol, 2 ;Serranillos del Valle;-;28979;918175871;-;Público;
