CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Sur;28030204;CEPA;AGUSTINA DE ARAGON;Calle Camino De Humanes, 63 ;Móstoles;-;28936;916852466;916852228;cepa.mostoles@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28045360;CEPA;ALFAR;Calle Del Cabo San Vicente, 1 ;Alcorcón;-;28924;916102917;-;cepa.alcorcon@educa.madrid.org;Alfar_sec@terra.es;-;Público;-;
Madrid-Oeste;28059395;CEPA;ALMAJAN;Avenida De Torrelodones (edificio Torreforum), 8 ;Torrelodones;-;28250;918596524;918596525;cepa.torrelodones@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28030125;CEPA;ALUCHE;Calle De Ocaña, 35bis ;Madrid;Latina;28047;917179100;917171035;cepa.aluche.madrid@educa.madrid.org;cepa.aluche.madrid@educa.madrid.org;-;Público;-;
Madrid-Capital;28045608;CEPA;ARGANZUELA;Calle De La Batalla Del Salado, 29 ;Madrid;Arganzuela;28045;915395395;915395395;cepa.arganzuela.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28045463;CEPA;ATALAYAS;Calle De La Macarena, 13 ;Molar, El;-;28710;918412095;918410728;cepa.elmolar@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28059401;CEPA;BUITRAGO DE LOZOYA;Calle De La Fuente De Arriba, 1 ;Buitrago del Lozoya;-;28730;918680487;918680487;cepa.buitrago@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28043259;CEPA;CANILLEJAS;Calle De Las Musas, 11 ;Madrid;San Blas-Canillejas;28022;917411860;913200943;cepa.canillejas.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Sur;28030101;CEPA;CASA DE LA CULTURA;Calle Guadalajara, 3 ;Getafe;-;28901;916959798;916960340;cepa.getafe@educa.madrid.org;cepa.getafe@madrid.org;-;Público;-;
Madrid-Capital;28045268;CEPA;CID CAMPEADOR LAS AGUILAS - CUATRO VIENTOS;Calle De Anselmo Lorenzo, 12 ;Madrid;Latina;28044;917058402;915095174;cepa.cidcampeador.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28045271;CEPA;CIUDAD LINEAL;Calle Hnos García Noblejas (acceso Por Luis Campos), 70 ;Madrid;Ciudad Lineal;28017;917545206;913045783;cepa.ciudadlineal.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Norte;28038641;CEPA;COLMENAR VIEJO;Plaza De Eulogio Carrasco, S/n ;Colmenar Viejo;-;28770;918458620;918463617;cepa.colmenarviejo@educa.madrid.org;cepa.colmenarviejo@educa.ma;-;Público;-;
Madrid-Este;28038631;CEPA;COSLADA;Avenida De La Cañada, 44 ;Coslada;-;28823;916726226;916746049;cepa.coslada@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28030113;CEPA;CULTURAL MORATALAZ;Calle Del Corregidor Alonso De Tobar, 7 ;Madrid;Moratalaz;28030;914370219;914378411;cepa.moratalaz.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28038689;CEPA;DAOIZ Y VELARDE;Calle De Fernando Ortiz, 2 ;Madrid;Usera;28041;915651055;915697036;cepa.daoizyvelarde.madrid@educa.madrid.org;cepa.daoizyvelarde.madrid@educa.madrid.org;-;Público;-;
Madrid-Capital;28059361;CEPA;DISTRITO CENTRO;Calle De San Bernardo (edificio I.e.s Lope De Vega), 70 ;Madrid;Centro;28015;915329959;915329959;cepa.centro.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28037892;CEPA;DON JUAN I;Calle San Vidal, 6 ;Alcalá de Henares;-;28803;918815156;-;cepa.alcala@educa.madrid.org;-;-;Público;-;
Madrid-Capital;28045347;CEPA;DULCE CHACON;Calle De La Abertura, 2 ;Madrid;Hortaleza;28033;913811272;917630931;cepa.dulcechacon.madrid@educa.madrid.org;-;-;Público;-;
Madrid-Este;28045359;CEPA;EL BUEN GOBERNADOR;Calle San Fernando, S/n ;Torrejón de Ardoz;-;28850;916780048;-;cepa.torrejondeardoz@educa.madrid.org;-;-;Público;-;
Madrid-Oeste;28045281;CEPA;EL PONTON;Calle Asturias, 3 ;Collado Villalba;-;28400;918517749;918515750;cepa.colladovillalba@educa.madrid.org;-;-;Público;-;
