CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
-;28923545;EST ADMI;AGENCIA DE CALIDAD, ACREDITACION Y PROSPECTIVA DE LAS UNIVERSIDADES DE MADRID;Calle Del Duque De Medinaceli, 2 ;Madrid;-;28014;-;-;-;Público;-;
Madrid-Capital;28080165;EST ADMI;CE COMPLEJO EDUCATIVO CIUDAD ESCOLAR-SAN FERNANDO;Carretera M-607 Colmenar Viejo, 12,8 ;Madrid;Fuencarral-El Pardo;28049;-;-;-;Público;-;
-;28923375;EST ADMI;CONSEJERIA DE EDUCACION, UNIVERSIDADES, CIENCIA Y PORTAVOCIA;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923661;EST ADMI;D.G. DE BILINGÜISMO Y CALIDAD DE LA ENSEÑANZA;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923521;EST ADMI;D.G. DE EDUCACION CONCERTADA, BECAS Y AYUDAS AL ESTUDIO;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923508;EST ADMI;D.G. DE EDUCACION INFANTIL, PRIMARIA Y ESPECIAL;Calle Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923557;EST ADMI;D.G. DE EDUCACION SECUNDARIA, FORMACION PROFESIONAL Y REGIMEN ESPECIAL;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923442;EST ADMI;D.G. DE INFRAESTRUCTURAS Y SERVICIOS;Calle De Santa Hortensia, 30 ;Madrid;Chamartín;28002;-;-;-;Público;-;
-;28923405;EST ADMI;D.G. DE INVESTIGACION E INNOVACION TECNOLOGICA;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923430;EST ADMI;D.G. DE RECURSOS HUMANOS;Calle De Santa Hortensia, 30 ;Madrid;Chamartín;28002;-;-;-;Público;-;
-;28923651;EST ADMI;D.G. DE UNIVERSIDADES Y ENSEÑANZAS ARTISTICAS SUPERIORES;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
Madrid-Capital;28007620;EST ADMI;DIRECCION AREA TERRITORIAL MADRID-CAPITAL;Calle De Vitruvio, 2 ;Madrid;Chamartín;28006;917203000;-;-;Público;-;
Madrid-Este;28008399;EST ADMI;DIRECCION AREA TERRITORIAL MADRID-ESTE;Calle Alalpardo, S/n ;Alcalá de Henares;-;28806;918872000;918828213;-;Público;-;
Madrid-Norte;28036449;EST ADMI;DIRECCION AREA TERRITORIAL MADRID-NORTE;Avenida De Valencia, S/n ;San Sebastián de los Reyes;-;28702;917203800;916521719;-;Público;-;
Madrid-Oeste;28008004;EST ADMI;DIRECCION AREA TERRITORIAL MADRID-OESTE;Carretera De La Granja, 4 ;Collado Villalba;-;28400;918562500;-;-;Público;-;
Madrid-Sur;28009380;EST ADMI;DIRECCION AREA TERRITORIAL MADRID-SUR;Calle Maestro, 19 ;Leganés;-;28914;917202700;916802826;-;Público;-;
-;28923168;EST ADMI;OTROS ORGANISMOS NO DOCENTES;-;Madrid;-;00000;0;0;-;Público;-;
-;28923399;EST ADMI;SECRETARIA GENERAL TECNICA DE EDUCACION, UNIVERSIDADES, CIENCIA Y PORTAVOCIA;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923478;EST ADMI;SUBDIRECCION GENERAL DE INSPECCION EDUCATIVA;Calle De Santa Hortensia, 30 ;Madrid;Chamartín;28002;-;-;-;Público;-;
-;28923491;EST ADMI;VICECONSEJERIA DE ORGANIZACION EDUCATIVA;Calle De Santa Hortensia, 30 ;Madrid;Chamartín;28002;-;-;-;Público;-;
-;28923387;EST ADMI;VICECONSEJERIA DE POLITICA EDUCATIVA;Calle De Alcalá, 30 ;Madrid;Centro;28014;-;-;-;Público;-;
-;28923685;EST ADMI;VICECONSEJERIA DE UNIVERSIDADES, CIENCIA E INNOVACION;Paseo De Recoletos, 14 ;Madrid;Salamanca;28001;-;-;-;Público;-;
